id,question_1,question_2
79,The team values conformity to its leadership structure.,He questions the role of conformity in shaping public opinion.
80,Conformity to ethical guidelines is crucial in research.,The community celebrates those who resist conformity.
81,The company encourages conformity to its innovation culture.,She believes that conformity can suppress authentic expression.
82,Conformity to safety measures is enforced on construction sites.,The discussion panel addresses the challenges of resisting conformity.
83,The family promotes conformity to its values through rituals.,He resists conformity by advocating for social change.
84,Conformity to corporate policies is necessary for career advancement.,The festival honors those who break free from conformity.
85,The school encourages conformity to its disciplinary policies.,She values authenticity over conformity to societal expectations.
86,Conformity to societal expectations is often rewarded with social acceptance.,The workshop encourages critical thinking over conformity.
87,The neighborhood values conformity to its community watch programs.,He challenges the conformity of traditional career paths.
88,Conformity to cultural heritage is celebrated during traditional festivals.,The book explores the power of nonconformity in personal growth.
89,The organization emphasizes conformity to its operational standards.,"She embraces diversity, rejecting the constraints of conformity."
90,Conformity to professional conduct is expected in client interactions.,The organization promotes dialogue over conformity.
91,The team promotes conformity to its wellness initiatives.,He questions the value of conformity in creative processes.
92,Conformity to environmental standards is crucial for green certification.,The film portrays characters who resist societal conformity.
93,The community encourages conformity to its disaster preparedness plans.,She finds fulfillment in resisting the pressures of conformity.
94,Conformity to academic guidelines is necessary for educational success.,The campaign advocates for individuality over conformity.
95,The company values conformity to its brand image.,He argues that conformity can limit social innovation.
96,Conformity to safety regulations is enforced in the manufacturing plant.,The movement seeks to empower individuals to resist conformity.
97,The school promotes conformity to its extracurricular participation rules.,She challenges the conformity of conventional success metrics.
98,Conformity to family expectations is often discussed during reunions.,The community supports those who defy societal conformity.
99,The workplace expects conformity to its remote work policies.,He believes that conformity can lead to a loss of personal freedom.
100,Conformity to societal norms is often depicted in popular media.,The art exhibit invites viewers to question the nature of conformity.
